	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
27 	[Retrieved Data]707 (5/14/2024 2:02:40 PM)	86.38	-0.48	4.83	10.34	10.34	10.34	10.34	10.34	19.96	44.21	63.99	69.81	67.44	62.33	62.21	61.95	62.58	66.21	69.73	71.19	71.26	70.55	69.08	67.66	66.76	66.31	66.57	67.37	68.79	70.62	72.81	75.00	76.73	78.13	79.29	80.53	81.81	83.06	83.06	83.06	83.06	83.06
28 	[Retrieved Data]708 (5/14/2024 2:02:40 PM)	91.38	1.25	5.63	13.91	13.91	13.91	13.91	13.91	25.05	52.09	73.27	79.32	76.72	71.60	71.37	71.01	71.25	74.50	77.90	79.55	79.79	79.54	78.82	78.28	78.37	78.91	79.81	80.86	81.96	83.09	84.40	85.61	86.60	87.32	87.93	88.59	89.31	89.86	89.86	89.86	89.86	89.86
28 	[Retrieved Data]708 (5/14/2024 2:02:40 PM)	89.92	1.35	5.19	11.13	11.13	11.13	11.13	11.13	22.28	49.38	70.95	77.32	74.52	69.01	68.76	68.22	68.33	71.53	74.91	76.42	76.61	76.32	75.57	75.06	75.20	75.71	76.56	77.52	78.63	79.77	81.04	82.22	83.24	83.95	84.56	85.26	85.90	86.48	86.48	86.48	86.48	86.48
29 	[Retrieved Data]709 (5/14/2024 2:02:40 PM)	94.43	1.92	6.26	14.86	14.86	14.86	14.86	14.86	27.06	56.25	78.88	85.50	82.78	77.45	77.30	76.82	76.79	79.83	83.27	84.97	85.31	85.43	85.38	85.55	86.34	87.44	88.68	89.72	90.43	90.87	91.28	91.58	91.85	92.01	92.14	92.34	92.50	92.48	92.48	92.48	92.48	92.48
29 	[Retrieved Data]709 (5/14/2024 2:02:40 PM)	93.03	2.04	5.81	12.09	12.09	12.09	12.09	12.09	24.27	53.54	76.67	83.59	80.64	74.85	74.67	74.03	73.82	76.83	80.20	81.81	82.10	82.16	82.08	82.31	83.13	84.21	85.38	86.34	87.03	87.48	87.86	88.13	88.46	88.62	88.73	88.93	89.07	89.08	89.08	89.08	89.08	89.08
30 	[Retrieved Data]710 (5/14/2024 2:02:40 PM)	88.78	1.90	8.87	12.94	12.94	12.94	12.94	12.94	22.34	45.67	63.98	69.03	66.85	62.34	62.30	62.38	63.50	67.60	71.53	73.43	73.92	73.67	72.80	72.29	72.62	73.45	74.71	76.08	77.56	79.11	80.87	82.54	83.86	84.88	85.72	86.61	87.59	88.47	88.47	88.47	88.47	88.47
30 	[Retrieved Data]710 (5/14/2024 2:02:40 PM)	87.21	2.03	8.56	10.15	10.15	10.15	10.15	10.15	19.56	42.92	61.58	66.87	64.49	59.60	59.51	59.56	60.51	64.52	68.40	70.25	70.68	70.37	69.49	69.02	69.36	70.19	71.40	72.71	74.16	75.74	77.46	79.13	80.48	81.45	82.29	83.25	84.17	85.04	85.04	85.04	85.04	85.04
31 	[Retrieved Data]711 (5/14/2024 2:02:40 PM)	91.99	3.62	9.81	13.80	13.80	13.80	13.80	13.80	24.42	49.93	69.54	75.00	72.43	67.65	67.51	67.33	67.98	71.74	75.81	78.08	78.84	79.04	78.91	79.31	80.69	82.58	84.61	86.25	87.41	88.25	89.03	89.66	90.17	90.51	90.77	91.11	91.44	91.63	91.63	91.63	91.63	91.63
31 	[Retrieved Data]711 (5/14/2024 2:02:40 PM)	90.56	3.78	9.48	11.11	11.11	11.11	11.11	11.11	21.70	47.29	67.32	73.04	70.23	65.03	64.79	64.62	65.10	68.76	72.79	74.99	75.69	75.85	75.68	76.12	77.53	79.40	81.37	82.93	84.11	84.94	85.69	86.27	86.84	87.16	87.42	87.77	88.10	88.28	88.28	88.28	88.28	88.28
32 	[Retrieved Data]712 (5/14/2024 2:02:40 PM)	27.83	25.88	-47.58	12.08	12.08	12.08	12.08	12.08	15.40	24.16	34.32	34.76	29.80	22.76	16.98	12.24	9.41	7.35	5.99	5.33	5.07	4.79	4.46	4.23	4.13	4.10	4.16	4.27	4.50	4.95	5.68	6.91	8.38	9.96	11.82	14.12	17.31	21.74	21.74	21.74	21.74	21.74
32 	[Retrieved Data]712 (5/14/2024 2:02:40 PM)	15.80	41.44	-62.10	8.90	8.90	8.90	8.90	8.90	12.15	20.83	30.97	31.42	26.43	19.34	13.60	8.83	6.06	4.01	2.66	2.00	1.74	1.49	1.17	0.96	0.86	0.82	0.84	0.89	1.07	1.46	2.18	3.39	4.82	6.43	8.25	10.58	13.72	18.12	18.12	18.12	18.12	18.12
33 	[Retrieved Data]713 (5/14/2024 2:02:40 PM)	54.47	64.61	49.56	4.71	4.71	4.71	4.71	4.71	4.58	4.51	4.44	4.38	4.38	4.48	4.62	4.84	5.19	5.72	6.23	6.52	6.65	6.60	6.43	6.81	9.27	16.66	31.04	49.75	67.57	80.01	87.05	90.51	91.91	92.50	92.75	92.94	93.07	93.05	93.05	93.05	93.05	93.05
33 	[Retrieved Data]713 (5/14/2024 2:02:40 PM)	49.88	71.31	66.81	1.83	1.83	1.83	1.83	1.83	1.59	1.46	1.35	1.21	1.12	1.10	1.12	1.20	1.43	1.81	2.20	2.44	2.60	2.57	2.42	2.80	5.20	12.50	26.78	45.37	63.18	75.62	82.68	86.14	87.54	88.15	88.41	88.59	88.69	88.70	88.70	88.70	88.70	88.70
