	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
    68 	[Retrieved Data]68 (5/13/2024 9:20:54 PM)	3	65.08	------		12.88	13.95	-31.84	-80.83	12.34	-27.67	86.32
    69 	[Retrieved Data]69 (5/13/2024 9:20:54 PM)	3	46.43	------		53.92	-15.15	-31.03	-41.36	-16.90	-27.25	52.33
    69 	[Retrieved Data]69 (5/13/2024 9:20:54 PM)	3	50.28	------		49.31	-17.59	-33.94	-44.40	-19.20	-29.76	56.80
    70 	[Retrieved Data]70 (5/13/2024 9:20:54 PM)	3	45.21	------		47.57	26.49	5.72	-47.71	24.74	9.49	54.57
    70 	[Retrieved Data]70 (5/13/2024 9:20:54 PM)	3	51.57	------		41.72	31.28	7.40	-51.99	29.67	11.57	60.97
    71 	[Retrieved Data]71 (5/13/2024 9:20:54 PM)	3	94.57	------		86.13	1.21	77.43	-9.14	-0.54	81.20	81.72
    71 	[Retrieved Data]71 (5/13/2024 9:20:54 PM)	3	104.25	------		84.07	1.24	86.59	-9.64	-0.37	90.77	91.28
    72 	[Retrieved Data]72 (5/13/2024 9:20:54 PM)	3	26.39	------		59.36	-1.92	2.35	-35.92	-3.67	6.12	36.62
    72 	[Retrieved Data]72 (5/13/2024 9:20:54 PM)	3	28.46	------		55.40	-2.16	2.74	-38.31	-3.77	6.91	39.12
    73 	[Retrieved Data]73 (5/13/2024 9:20:54 PM)	3	50.10	------		54.94	-27.87	14.36	-40.33	-29.62	18.13	53.22
    73 	[Retrieved Data]73 (5/13/2024 9:20:54 PM)	3	56.37	------		50.36	-32.57	17.02	-43.35	-34.18	21.19	59.13
    74 	[Retrieved Data]74 (5/13/2024 9:20:54 PM)	3	83.78	------		68.43	41.32	54.62	-26.84	39.57	58.40	75.47
    74 	[Retrieved Data]74 (5/13/2024 9:20:54 PM)	3	94.80	------		65.30	44.05	65.00	-28.41	42.44	69.17	85.98
    75 	[Retrieved Data]75 (5/13/2024 9:20:54 PM)	3	4.90	------		89.41	1.05	-6.01	-5.86	-0.70	-2.24	6.32
    75 	[Retrieved Data]75 (5/13/2024 9:20:54 PM)	3	3.98	------		89.31	1.14	-6.36	-4.40	-0.47	-2.18	4.93
    76 	[Retrieved Data]76 (5/13/2024 9:20:54 PM)	3	4.90	------		89.41	1.05	-6.01	-5.86	-0.71	-2.24	6.31
    76 	[Retrieved Data]76 (5/13/2024 9:20:54 PM)	3	3.98	------		89.31	1.14	-6.36	-4.40	-0.47	-2.18	4.93
    77 	[Retrieved Data]77 (5/13/2024 9:20:54 PM)	3	4.89	------		89.41	1.05	-6.00	-5.86	-0.70	-2.23	6.31
    77 	[Retrieved Data]77 (5/13/2024 9:20:54 PM)	3	3.98	------		89.31	1.14	-6.35	-4.40	-0.47	-2.17	4.93
    78 	[Retrieved Data]78 (5/13/2024 9:20:54 PM)	3	4.90	------		89.40	1.04	-6.00	-5.87	-0.71	-2.22	6.32
    78 	[Retrieved Data]78 (5/13/2024 9:20:54 PM)	3	3.98	------		89.30	1.13	-6.35	-4.41	-0.47	-2.17	4.94
    79 	[Retrieved Data]79 (5/13/2024 9:20:54 PM)	3	4.89	------		89.40	1.04	-5.99	-5.87	-0.71	-2.22	6.32
    79 	[Retrieved Data]79 (5/13/2024 9:20:54 PM)	3	3.98	------		89.30	1.13	-6.34	-4.41	-0.48	-2.17	4.94
    80 	[Retrieved Data]80 (5/13/2024 9:20:54 PM)	3	4.89	------		89.40	1.04	-5.99	-5.88	-0.71	-2.22	6.32
    80 	[Retrieved Data]80 (5/13/2024 9:20:54 PM)	3	3.98	------		89.30	1.13	-6.34	-4.41	-0.48	-2.16	4.93
    81 	[Retrieved Data]81 (5/13/2024 9:20:54 PM)	3	85.91	------		48.25	59.48	34.34	-47.03	57.73	38.11	83.64
    81 	[Retrieved Data]81 (5/13/2024 9:20:54 PM)	3	85.14	------		48.24	59.46	34.41	-45.47	57.85	38.59	83.09
    82 	[Retrieved Data]82 (5/13/2024 9:20:54 PM)	3	103.46	------		67.63	57.78	64.60	-27.65	56.03	68.37	92.62
    82 	[Retrieved Data]82 (5/13/2024 9:20:54 PM)	3	102.48	------		67.57	57.71	64.56	-26.14	56.10	68.73	92.49
    83 	[Retrieved Data]83 (5/13/2024 9:20:54 PM)	3	112.06	------		88.89	7.36	92.95	-6.38	5.61	96.72	97.09
    83 	[Retrieved Data]83 (5/13/2024 9:20:54 PM)	3	111.18	------		88.81	7.40	92.89	-4.90	5.80	97.07	97.37
    84 	[Retrieved Data]84 (5/13/2024 9:20:54 PM)	3	54.45	------		61.14	-34.27	16.39	-34.13	-36.02	20.17	53.57
    84 	[Retrieved Data]84 (5/13/2024 9:20:54 PM)	3	53.94	------		61.09	-34.29	16.41	-32.62	-35.89	20.58	52.69
    85 	[Retrieved Data]85 (5/13/2024 9:20:54 PM)	3	48.86	------		69.75	-35.20	-16.48	-25.52	-36.95	-12.71	46.67
    85 	[Retrieved Data]85 (5/13/2024 9:20:54 PM)	3	47.74	------		69.68	-35.18	-16.43	-24.03	-36.79	-12.26	45.62
    86 	[Retrieved Data]86 (5/13/2024 9:20:54 PM)	3	58.32	------		53.47	-1.92	-48.60	-41.80	-3.67	-44.82	61.40
    86 	[Retrieved Data]86 (5/13/2024 9:20:54 PM)	3	56.53	------		53.42	-1.93	-48.50	-40.29	-3.54	-44.32	60.01
    87 	[Retrieved Data]87 (5/13/2024 9:20:54 PM)	3	38.89	------		58.15	17.43	-24.63	-37.12	15.68	-20.85	45.38
    87 	[Retrieved Data]87 (5/13/2024 9:20:54 PM)	3	37.66	------		58.11	17.45	-24.54	-35.60	15.84	-20.36	43.97
    88 	[Retrieved Data]88 (5/13/2024 9:20:54 PM)	3	39.63	------		42.89	15.89	-4.31	-52.38	14.14	-0.54	54.26
    88 	[Retrieved Data]88 (5/13/2024 9:20:54 PM)	3	38.95	------		42.86	15.91	-4.26	-50.85	14.30	-0.08	52.83
    89 	[Retrieved Data]89 (5/13/2024 9:20:54 PM)	3	30.20	------		79.28	3.90	18.91	-16.00	2.15	22.68	27.84
    89 	[Retrieved Data]89 (5/13/2024 9:20:54 PM)	3	32.09	------		76.80	4.32	19.85	-16.91	2.72	24.02	29.50
    90 	[Retrieved Data]90 (5/13/2024 9:20:54 PM)	3	30.19	------		79.28	3.90	18.90	-15.99	2.15	22.67	27.83
