	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
   292 	[Retrieved Data]292 (5/13/2024 9:20:54 PM)	3	48.72	------		41.34	10.87	20.95	-52.37	9.26	25.13	58.82
   293 	[Retrieved Data]293 (5/13/2024 9:20:54 PM)	3	43.94	------		48.53	10.39	19.24	-46.74	8.64	23.02	52.81
   293 	[Retrieved Data]293 (5/13/2024 9:20:54 PM)	3	49.01	------		43.95	12.01	22.72	-49.76	10.40	26.90	57.51
   294 	[Retrieved Data]294 (5/13/2024 9:20:54 PM)	3	41.83	------		44.08	7.72	13.41	-51.20	5.97	17.18	54.33
   294 	[Retrieved Data]294 (5/13/2024 9:20:54 PM)	3	46.74	------		38.46	9.43	16.17	-55.25	7.82	20.34	59.40
   295 	[Retrieved Data]295 (5/13/2024 9:20:54 PM)	3	42.37	------		44.44	8.63	14.34	-50.83	6.88	18.11	54.40
   295 	[Retrieved Data]295 (5/13/2024 9:20:54 PM)	3	47.53	------		38.85	10.49	17.39	-54.86	8.88	21.57	59.61
   296 	[Retrieved Data]296 (5/13/2024 9:20:54 PM)	3	42.54	------		46.68	9.72	16.14	-48.59	7.97	19.91	53.11
   296 	[Retrieved Data]296 (5/13/2024 9:20:54 PM)	3	47.54	------		41.57	11.50	19.22	-52.14	9.89	23.40	58.00
   297 	[Retrieved Data]297 (5/13/2024 9:20:54 PM)	3	42.40	------		47.99	8.46	17.34	-47.28	6.71	21.12	52.22
   297 	[Retrieved Data]297 (5/13/2024 9:20:54 PM)	3	47.17	------		43.14	9.92	20.38	-50.57	8.31	24.55	56.83
   298 	[Retrieved Data]298 (5/13/2024 9:20:54 PM)	3	43.53	------		44.70	9.49	16.09	-50.57	7.74	19.87	54.88
   298 	[Retrieved Data]298 (5/13/2024 9:20:54 PM)	3	49.10	------		39.19	11.44	19.68	-54.52	9.83	23.86	60.32
   299 	[Retrieved Data]299 (5/13/2024 9:20:54 PM)	3	43.29	------		45.96	7.88	17.23	-49.32	6.13	21.00	53.95
   299 	[Retrieved Data]299 (5/13/2024 9:20:54 PM)	3	48.59	------		40.80	9.43	20.81	-52.91	7.82	24.98	59.03
   300 	[Retrieved Data]300 (5/13/2024 9:20:54 PM)	3	43.64	------		48.18	9.36	18.92	-47.10	7.61	22.70	52.83
   300 	[Retrieved Data]300 (5/13/2024 9:20:54 PM)	3	48.76	------		43.45	10.91	22.43	-50.26	9.30	26.61	57.63
   301 	[Retrieved Data]301 (5/13/2024 9:20:54 PM)	3	43.87	------		37.30	6.36	10.02	-57.97	4.61	13.79	59.77
   301 	[Retrieved Data]301 (5/13/2024 9:20:54 PM)	3	49.82	------		30.19	8.52	13.35	-63.52	6.92	17.52	66.25
   302 	[Retrieved Data]302 (5/13/2024 9:20:54 PM)	3	41.53	------		46.03	7.97	14.63	-49.24	6.22	18.40	52.94
   302 	[Retrieved Data]302 (5/13/2024 9:20:54 PM)	3	46.25	------		40.77	9.58	17.36	-52.94	7.97	21.54	57.70
   303 	[Retrieved Data]303 (5/13/2024 9:20:54 PM)	3	42.06	------		46.34	8.90	15.42	-48.93	7.15	19.19	53.05
   303 	[Retrieved Data]303 (5/13/2024 9:20:54 PM)	3	46.97	------		41.11	10.57	18.37	-52.60	8.96	22.55	57.93
   304 	[Retrieved Data]304 (5/13/2024 9:20:54 PM)	3	42.55	------		48.71	10.18	17.54	-46.56	8.43	21.31	51.90
   304 	[Retrieved Data]304 (5/13/2024 9:20:54 PM)	3	47.34	------		43.97	11.86	20.54	-49.74	10.25	24.71	56.47
   305 	[Retrieved Data]305 (5/13/2024 9:20:54 PM)	3	42.91	------		44.35	8.53	15.15	-50.92	6.78	18.92	54.75
   305 	[Retrieved Data]305 (5/13/2024 9:20:54 PM)	3	48.25	------		38.79	10.35	18.48	-54.92	8.74	22.66	60.05
   306 	[Retrieved Data]306 (5/13/2024 9:20:54 PM)	3	43.50	------		46.70	9.82	17.51	-48.57	8.07	21.29	53.64
   306 	[Retrieved Data]306 (5/13/2024 9:20:54 PM)	3	48.80	------		41.61	11.64	20.99	-52.10	10.03	25.17	58.72
   307 	[Retrieved Data]307 (5/13/2024 9:20:54 PM)	3	43.35	------		47.84	8.22	18.61	-47.44	6.47	22.39	52.85
   307 	[Retrieved Data]307 (5/13/2024 9:20:54 PM)	3	48.47	------		43.02	9.66	22.12	-50.69	8.05	26.29	57.67
   308 	[Retrieved Data]308 (5/13/2024 9:20:54 PM)	3	44.05	------		44.71	9.67	16.82	-50.56	7.92	20.59	55.16
   308 	[Retrieved Data]308 (5/13/2024 9:20:54 PM)	3	49.69	------		39.36	11.65	20.60	-54.35	10.04	24.77	60.57
   309 	[Retrieved Data]309 (5/13/2024 9:20:54 PM)	3	49.46	------		23.84	2.80	0.85	-71.43	1.05	4.63	71.59
   309 	[Retrieved Data]309 (5/13/2024 9:20:54 PM)	3	61.61	------		4.61	2.60	-3.49	-89.10	0.99	0.68	89.11
   310 	[Retrieved Data]310 (5/13/2024 9:20:54 PM)	3	77.69	------		42.70	-50.15	23.60	-52.57	-51.90	27.38	78.79
   310 	[Retrieved Data]310 (5/13/2024 9:20:54 PM)	3	98.43	------		36.89	-68.03	32.35	-56.82	-69.64	36.53	97.02
   311 	[Retrieved Data]311 (5/13/2024 9:20:54 PM)	3	41.72	------		48.33	9.26	16.39	-46.94	7.51	20.16	51.64
   311 	[Retrieved Data]311 (5/13/2024 9:20:54 PM)	3	46.33	------		43.52	10.84	19.18	-50.19	9.23	23.36	56.12
   312 	[Retrieved Data]312 (5/13/2024 9:20:54 PM)	3	42.56	------		44.17	7.73	14.68	-51.10	5.98	18.45	54.66
   312 	[Retrieved Data]312 (5/13/2024 9:20:54 PM)	3	47.78	------		38.58	9.43	17.90	-55.13	7.82	22.08	59.90
   313 	[Retrieved Data]313 (5/13/2024 9:20:54 PM)	3	42.77	------		46.39	8.99	16.50	-48.88	7.24	20.27	53.41
   313 	[Retrieved Data]313 (5/13/2024 9:20:54 PM)	3	47.84	------		41.26	10.69	19.71	-52.45	9.08	23.89	58.34
   314 	[Retrieved Data]314 (5/13/2024 9:20:54 PM)	3	43.27	------		48.62	10.13	18.48	-46.65	8.37	22.25	52.36
   314 	[Retrieved Data]314 (5/13/2024 9:20:54 PM)	3	48.22	------		43.92	11.77	21.73	-49.79	10.16	25.90	57.04
   315 	[Retrieved Data]315 (5/13/2024 9:20:54 PM)	3	43.49	------		44.37	8.53	16.06	-50.90	6.78	19.84	55.05
   315 	[Retrieved Data]315 (5/13/2024 9:20:54 PM)	3	48.98	------		38.89	10.35	19.65	-54.82	8.74	23.82	60.41
   316 	[Retrieved Data]316 (5/13/2024 9:20:54 PM)	3	43.87	------		46.92	10.07	18.11	-48.35	8.32	21.89	53.73
   316 	[Retrieved Data]316 (5/13/2024 9:20:54 PM)	3	49.15	------		42.02	11.82	21.70	-51.69	10.21	25.87	58.70
   317 	[Retrieved Data]317 (5/13/2024 9:20:54 PM)	3	72.33	------		27.88	25.42	-47.18	-67.40	23.67	-43.40	83.58
   317 	[Retrieved Data]317 (5/13/2024 9:20:54 PM)	3	93.84	------		15.79	40.85	-61.78	-77.92	39.24	-57.60	104.54
   318 	[Retrieved Data]318 (5/13/2024 9:20:54 PM)	3	5.55	------		99.41	-0.12	-0.03	4.14	-1.87	3.74	5.89
   318 	[Retrieved Data]318 (5/13/2024 9:20:54 PM)	3	5.81	------		97.34	-0.10	0.12	3.63	-1.70	4.30	5.88
   319 	[Retrieved Data]319 (5/13/2024 9:20:54 PM)	3	5.54	------		99.41	-0.12	-0.04	4.14	-1.87	3.74	5.88
   319 	[Retrieved Data]319 (5/13/2024 9:20:54 PM)	3	5.78	------		97.34	-0.09	0.11	3.63	-1.70	4.28	5.86
   320 	[Retrieved Data]320 (5/13/2024 9:20:54 PM)	3	98.75	------		54.27	64.70	49.35	-41.01	62.95	53.13	92.02
   320 	[Retrieved Data]320 (5/13/2024 9:20:54 PM)	3	116.24	------		49.74	71.21	66.41	-43.98	69.60	70.59	108.45
   321 	[Retrieved Data]321 (5/13/2024 9:20:54 PM)	3	40.46	------		58.06	4.60	21.67	-37.21	2.85	25.44	45.17
   321 	[Retrieved Data]321 (5/13/2024 9:20:54 PM)	3	43.79	------		54.70	5.15	23.87	-39.01	3.54	28.04	48.17
   322 	[Retrieved Data]322 (5/13/2024 9:20:54 PM)	3	42.57	------		55.18	6.55	22.40	-40.10	4.80	26.17	48.12
   322 	[Retrieved Data]322 (5/13/2024 9:20:54 PM)	3	46.64	------		51.51	7.35	25.26	-42.20	5.75	29.44	51.78
   323 	[Retrieved Data]323 (5/13/2024 9:20:54 PM)	3	42.89	------		56.23	4.54	23.52	-39.04	2.79	27.30	47.72
   323 	[Retrieved Data]323 (5/13/2024 9:20:54 PM)	3	46.81	------		52.71	5.12	26.33	-41.00	3.51	30.50	51.22
   324 	[Retrieved Data]324 (5/13/2024 9:20:54 PM)	3	43.30	------		58.31	6.31	24.75	-36.96	4.56	28.52	46.91
   324 	[Retrieved Data]324 (5/13/2024 9:20:54 PM)	3	47.04	------		55.02	6.99	27.40	-38.69	5.38	31.57	50.22
   325 	[Retrieved Data]325 (5/13/2024 9:20:54 PM)	3	44.71	------		54.33	4.09	24.68	-40.94	2.34	28.45	49.91
   325 	[Retrieved Data]325 (5/13/2024 9:20:54 PM)	3	49.32	------		50.60	4.66	28.19	-43.11	3.06	32.37	53.99
   326 	[Retrieved Data]326 (5/13/2024 9:20:54 PM)	3	44.62	------		56.68	6.17	25.49	-38.59	4.42	29.26	48.63
   326 	[Retrieved Data]326 (5/13/2024 9:20:54 PM)	3	48.83	------		53.23	6.89	28.59	-40.48	5.28	32.77	52.35
   327 	[Retrieved Data]327 (5/13/2024 9:20:54 PM)	3	45.11	------		58.82	7.95	26.66	-36.45	6.20	30.43	47.89
   327 	[Retrieved Data]327 (5/13/2024 9:20:54 PM)	3	49.08	------		55.62	8.72	29.57	-38.09	7.11	33.75	51.38
   328 	[Retrieved Data]328 (5/13/2024 9:20:54 PM)	3	41.85	------		54.84	5.21	21.56	-40.43	3.45	25.34	47.84
   328 	[Retrieved Data]328 (5/13/2024 9:20:54 PM)	3	45.81	------		51.13	5.88	24.32	-42.58	4.27	28.50	51.42
   329 	[Retrieved Data]329 (5/13/2024 9:20:54 PM)	3	41.96	------		56.81	6.67	22.50	-38.46	4.92	26.28	46.84
   329 	[Retrieved Data]329 (5/13/2024 9:20:54 PM)	3	45.69	------		53.35	7.41	25.06	-40.36	5.80	29.24	50.18
   330 	[Retrieved Data]330 (5/13/2024 9:20:54 PM)	3	42.31	------		57.91	4.75	23.65	-37.36	3.00	27.42	46.44
   330 	[Retrieved Data]330 (5/13/2024 9:20:54 PM)	3	45.96	------		54.60	5.30	26.23	-39.11	3.69	30.40	49.67
   331 	[Retrieved Data]331 (5/13/2024 9:20:54 PM)	3	44.45	------		55.12	6.44	24.54	-40.15	4.69	28.31	49.35
   331 	[Retrieved Data]331 (5/13/2024 9:20:54 PM)	3	48.87	------		51.47	7.24	27.79	-42.24	5.63	31.97	53.28
   332 	[Retrieved Data]332 (5/13/2024 9:20:54 PM)	3	44.65	------		56.28	4.46	25.51	-38.99	2.71	29.28	48.84
   332 	[Retrieved Data]332 (5/13/2024 9:20:54 PM)	3	48.95	------		52.81	5.03	28.75	-40.90	3.42	32.92	52.62
   333 	[Retrieved Data]333 (5/13/2024 9:20:54 PM)	3	44.17	------		58.41	6.28	25.73	-36.87	4.53	29.51	47.44
   333 	[Retrieved Data]333 (5/13/2024 9:20:54 PM)	3	48.08	------		55.14	6.95	28.58	-38.57	5.34	32.75	50.88
   334 	[Retrieved Data]334 (5/13/2024 9:20:54 PM)	3	42.69	------		47.74	6.29	18.07	-47.53	4.54	21.84	52.51
   334 	[Retrieved Data]334 (5/13/2024 9:20:54 PM)	3	47.47	------		43.08	7.39	21.37	-50.63	5.79	25.54	57.00
   335 	[Retrieved Data]335 (5/13/2024 9:20:54 PM)	3	40.41	------		56.27	4.43	20.72	-39.00	2.68	24.49	46.13
   335 	[Retrieved Data]335 (5/13/2024 9:20:54 PM)	3	43.89	------		52.75	4.99	23.03	-40.96	3.38	27.20	49.29
   336 	[Retrieved Data]336 (5/13/2024 9:20:54 PM)	3	41.09	------		56.51	5.62	21.50	-38.76	3.87	25.27	46.44
   336 	[Retrieved Data]336 (5/13/2024 9:20:54 PM)	3	44.68	------		53.01	6.28	23.92	-40.70	4.67	28.09	49.68
   337 	[Retrieved Data]337 (5/13/2024 9:20:54 PM)	3	41.68	------		58.67	7.34	22.95	-36.61	5.59	26.72	45.67
   337 	[Retrieved Data]337 (5/13/2024 9:20:54 PM)	3	45.15	------		55.40	8.06	25.29	-38.31	6.45	29.46	48.76
   338 	[Retrieved Data]338 (5/13/2024 9:20:54 PM)	3	43.35	------		54.70	5.06	23.24	-40.57	3.31	27.01	48.86
   338 	[Retrieved Data]338 (5/13/2024 9:20:54 PM)	3	47.59	------		51.00	5.73	26.33	-42.71	4.12	30.50	52.65
   339 	[Retrieved Data]339 (5/13/2024 9:20:54 PM)	3	43.84	------		56.82	6.76	24.60	-38.46	5.01	28.37	48.05
   339 	[Retrieved Data]339 (5/13/2024 9:20:54 PM)	3	47.92	------		53.38	7.50	27.56	-40.33	5.89	31.74	51.66
   340 	[Retrieved Data]340 (5/13/2024 9:20:54 PM)	3	44.34	------		57.97	4.92	25.87	-37.30	3.16	29.65	47.75
   340 	[Retrieved Data]340 (5/13/2024 9:20:54 PM)	3	48.37	------		54.66	5.48	28.86	-39.05	3.87	33.04	51.30
   341 	[Retrieved Data]341 (5/13/2024 9:20:54 PM)	3	45.22	------		55.08	6.96	25.30	-40.19	5.21	29.07	49.88
   341 	[Retrieved Data]341 (5/13/2024 9:20:54 PM)	3	49.80	------		51.44	7.81	28.74	-42.27	6.20	32.92	53.93
   342 	[Retrieved Data]342 (5/13/2024 9:20:54 PM)	3	49.68	------		23.42	2.64	0.51	-71.85	0.89	4.29	71.98
   342 	[Retrieved Data]342 (5/13/2024 9:20:54 PM)	3	61.60	------		4.61	2.38	-3.51	-89.10	0.77	0.66	89.11
   343 	[Retrieved Data]343 (5/13/2024 9:20:54 PM)	3	77.82	------		42.68	-50.23	23.72	-52.59	-51.98	27.49	78.89
   343 	[Retrieved Data]343 (5/13/2024 9:20:54 PM)	3	98.43	------		36.93	-67.94	32.55	-56.78	-69.55	36.72	97.00
   344 	[Retrieved Data]344 (5/13/2024 9:20:54 PM)	3	40.61	------		58.40	6.29	21.80	-36.87	4.54	25.58	45.10
   344 	[Retrieved Data]344 (5/13/2024 9:20:54 PM)	3	43.92	------		55.12	6.96	23.97	-38.59	5.35	28.15	48.06
   345 	[Retrieved Data]345 (5/13/2024 9:20:54 PM)	3	42.69	------		54.41	4.25	22.40	-40.86	2.50	26.18	48.59
   345 	[Retrieved Data]345 (5/13/2024 9:20:54 PM)	3	46.84	------		50.67	4.85	25.39	-43.04	3.24	29.56	52.31
   346 	[Retrieved Data]346 (5/13/2024 9:20:54 PM)	3	43.05	------		56.56	5.71	23.74	-38.71	3.96	27.52	47.66
   346 	[Retrieved Data]346 (5/13/2024 9:20:54 PM)	3	47.03	------		53.06	6.38	26.60	-40.65	4.78	30.77	51.21
   347 	[Retrieved Data]347 (5/13/2024 9:20:54 PM)	3	43.67	------		58.68	7.42	25.14	-36.59	5.67	28.91	46.98
   347 	[Retrieved Data]347 (5/13/2024 9:20:54 PM)	3	47.46	------		55.41	8.17	27.83	-38.30	6.56	32.00	50.34
   348 	[Retrieved Data]348 (5/13/2024 9:20:54 PM)	3	44.92	------		54.69	5.33	24.99	-40.58	3.58	28.76	49.87
   348 	[Retrieved Data]348 (5/13/2024 9:20:54 PM)	3	49.49	------		51.02	6.02	28.44	-42.69	4.41	32.62	53.90
   349 	[Retrieved Data]349 (5/13/2024 9:20:54 PM)	3	44.82	------		57.11	7.30	25.73	-38.16	5.55	29.50	48.56
   349 	[Retrieved Data]349 (5/13/2024 9:20:54 PM)	3	49.02	------		53.70	8.09	28.82	-40.01	6.49	33.00	52.26
   350 	[Retrieved Data]350 (5/13/2024 9:20:54 PM)	3	71.63	------		28.13	24.94	-46.66	-67.15	23.19	-42.89	82.98
   350 	[Retrieved Data]350 (5/13/2024 9:20:54 PM)	3	92.82	------		16.06	39.98	-61.15	-77.65	38.37	-56.97	103.67
   351 	[Retrieved Data]351 (5/13/2024 9:20:54 PM)	3	5.55	------		99.41	-0.11	-0.03	4.14	-1.86	3.75	5.89
   351 	[Retrieved Data]351 (5/13/2024 9:20:54 PM)	3	5.80	------		97.32	-0.10	0.12	3.61	-1.71	4.30	5.86
   352 	[Retrieved Data]352 (5/13/2024 9:20:54 PM)	3	5.57	------		99.43	-0.13	-0.03	4.16	-1.88	3.75	5.90
   352 	[Retrieved Data]352 (5/13/2024 9:20:54 PM)	3	5.79	------		97.31	-0.09	0.12	3.60	-1.70	4.29	5.86
   353 	[Retrieved Data]353 (5/13/2024 9:20:54 PM)	3	98.95	------		54.06	64.99	49.25	-41.22	63.24	53.02	92.25
   353 	[Retrieved Data]353 (5/13/2024 9:20:54 PM)	3	116.58	------		49.59	71.44	66.61	-44.12	69.83	70.78	108.78
   354 	[Retrieved Data]354 (5/13/2024 9:20:54 PM)	3	28.53	------		80.12	-0.04	17.50	-15.15	-1.79	21.27	26.18
   354 	[Retrieved Data]354 (5/13/2024 9:20:54 PM)	3	29.52	------		78.18	0.02	17.76	-15.53	-1.58	21.94	26.93
   355 	[Retrieved Data]355 (5/13/2024 9:20:54 PM)	3	31.42	------		75.72	3.78	19.15	-19.55	2.03	22.92	30.20
   355 	[Retrieved Data]355 (5/13/2024 9:20:54 PM)	3	32.75	------		73.59	4.01	19.67	-20.12	2.40	23.84	31.29
   356 	[Retrieved Data]356 (5/13/2024 9:20:54 PM)	3	31.72	------		77.24	-0.01	19.80	-18.03	-1.76	23.57	29.73
   356 	[Retrieved Data]356 (5/13/2024 9:20:54 PM)	3	32.98	------		75.20	0.07	20.31	-18.51	-1.54	24.49	30.73
   357 	[Retrieved Data]357 (5/13/2024 9:20:54 PM)	3	33.68	------		80.56	1.77	22.44	-14.71	0.02	26.21	30.06
   357 	[Retrieved Data]357 (5/13/2024 9:20:54 PM)	3	34.90	------		78.63	1.89	22.96	-15.08	0.28	27.13	31.04
   358 	[Retrieved Data]358 (5/13/2024 9:20:54 PM)	3	34.00	------		74.79	0.62	21.36	-20.48	-1.13	25.14	32.44
   358 	[Retrieved Data]358 (5/13/2024 9:20:54 PM)	3	35.47	------		72.63	0.73	22.07	-21.08	-0.88	26.25	33.67
   359 	[Retrieved Data]359 (5/13/2024 9:20:54 PM)	3	34.95	------		77.98	2.54	23.09	-17.29	0.79	26.86	31.95
   359 	[Retrieved Data]359 (5/13/2024 9:20:54 PM)	3	36.34	------		75.97	2.70	23.75	-17.74	1.10	27.93	33.10
   360 	[Retrieved Data]360 (5/13/2024 9:20:54 PM)	3	35.61	------		81.25	5.00	24.19	-14.02	3.25	27.97	31.45
   360 	[Retrieved Data]360 (5/13/2024 9:20:54 PM)	3	36.82	------		79.39	5.25	24.71	-14.32	3.65	28.89	32.45
   361 	[Retrieved Data]361 (5/13/2024 9:20:54 PM)	3	27.65	------		74.90	-0.14	15.13	-20.37	-1.89	18.90	27.85
   361 	[Retrieved Data]361 (5/13/2024 9:20:54 PM)	3	28.79	------		72.71	-0.07	15.45	-21.00	-1.68	19.63	28.80
   362 	[Retrieved Data]362 (5/13/2024 9:20:54 PM)	3	29.73	------		75.39	1.20	17.45	-19.89	-0.55	21.23	29.09
   362 	[Retrieved Data]362 (5/13/2024 9:20:54 PM)	3	30.98	------		73.23	1.33	17.89	-20.48	-0.27	22.07	30.11
   363 	[Retrieved Data]363 (5/13/2024 9:20:54 PM)	3	30.65	------		78.25	3.20	19.12	-17.02	1.44	22.89	28.56
   363 	[Retrieved Data]363 (5/13/2024 9:20:54 PM)	3	31.84	------		76.24	3.39	19.54	-17.48	1.78	23.72	29.51
   364 	[Retrieved Data]364 (5/13/2024 9:20:54 PM)	3	32.37	------		80.16	-0.32	21.04	-15.11	-2.07	24.82	29.13
   364 	[Retrieved Data]364 (5/13/2024 9:20:54 PM)	3	33.54	------		78.21	-0.26	21.50	-15.50	-1.87	25.68	30.05
   365 	[Retrieved Data]365 (5/13/2024 9:20:54 PM)	3	33.44	------		75.91	3.95	21.13	-19.36	2.20	24.90	31.62
   365 	[Retrieved Data]365 (5/13/2024 9:20:54 PM)	3	34.89	------		73.79	4.20	21.78	-19.93	2.59	25.95	32.82
   366 	[Retrieved Data]366 (5/13/2024 9:20:54 PM)	3	34.84	------		77.61	0.56	22.86	-17.67	-1.19	26.63	31.98
   366 	[Retrieved Data]366 (5/13/2024 9:20:54 PM)	3	36.25	------		75.56	0.66	23.54	-18.15	-0.95	27.72	33.14
   367 	[Retrieved Data]367 (5/13/2024 9:20:54 PM)	3	35.29	------		80.73	2.23	23.94	-14.55	0.48	27.72	31.31
   367 	[Retrieved Data]367 (5/13/2024 9:20:54 PM)	3	36.53	------		78.83	2.37	24.50	-14.88	0.76	28.68	32.32
   368 	[Retrieved Data]368 (5/13/2024 9:20:54 PM)	3	36.55	------		69.44	7.70	21.74	-25.83	5.95	25.51	36.79
   368 	[Retrieved Data]368 (5/13/2024 9:20:54 PM)	3	38.52	------		67.02	8.18	22.78	-26.69	6.57	26.95	38.50
   369 	[Retrieved Data]369 (5/13/2024 9:20:54 PM)	3	27.48	------		77.44	0.14	15.81	-17.83	-1.61	19.58	26.53
   369 	[Retrieved Data]369 (5/13/2024 9:20:54 PM)	3	28.54	------		75.37	0.20	16.09	-18.34	-1.41	20.27	27.37
   370 	[Retrieved Data]370 (5/13/2024 9:20:54 PM)	3	29.31	------		77.87	1.71	17.78	-17.40	-0.04	21.55	27.70
   370 	[Retrieved Data]370 (5/13/2024 9:20:54 PM)	3	30.45	------		75.86	1.85	18.15	-17.85	0.24	22.32	28.58
   371 	[Retrieved Data]371 (5/13/2024 9:20:54 PM)	3	30.97	------		81.07	3.12	20.04	-14.20	1.37	23.82	27.76
   371 	[Retrieved Data]371 (5/13/2024 9:20:54 PM)	3	32.05	------		79.17	3.29	20.40	-14.54	1.68	24.58	28.61
   372 	[Retrieved Data]372 (5/13/2024 9:20:54 PM)	3	31.73	------		75.33	1.98	19.39	-19.95	0.23	23.16	30.57
   372 	[Retrieved Data]372 (5/13/2024 9:20:54 PM)	3	33.08	------		73.13	2.15	19.93	-20.58	0.54	24.10	31.70
   373 	[Retrieved Data]373 (5/13/2024 9:20:54 PM)	3	33.52	------		78.62	3.83	21.85	-16.65	2.08	25.63	30.63
   373 	[Retrieved Data]373 (5/13/2024 9:20:54 PM)	3	34.84	------		76.62	4.04	22.42	-17.09	2.43	26.60	31.71
   374 	[Retrieved Data]374 (5/13/2024 9:20:54 PM)	3	34.77	------		80.23	-0.11	23.28	-15.05	-1.86	27.05	31.01
   374 	[Retrieved Data]374 (5/13/2024 9:20:54 PM)	3	36.05	------		78.30	-0.06	23.88	-15.41	-1.67	28.06	32.05
   375 	[Retrieved Data]375 (5/13/2024 9:20:54 PM)	3	35.41	------		76.05	4.45	22.99	-19.23	2.70	26.77	33.07
   375 	[Retrieved Data]375 (5/13/2024 9:20:54 PM)	3	36.93	------		73.94	4.72	23.74	-19.77	3.11	27.91	34.34
   376 	[Retrieved Data]376 (5/13/2024 9:20:54 PM)	3	49.80	------		23.19	2.47	0.29	-72.08	0.72	4.06	72.20
   376 	[Retrieved Data]376 (5/13/2024 9:20:54 PM)	3	61.68	------		4.48	2.32	-3.59	-89.23	0.71	0.59	89.23
   377 	[Retrieved Data]377 (5/13/2024 9:20:54 PM)	3	77.33	------		42.37	-49.49	23.84	-52.91	-51.24	27.61	78.66
   377 	[Retrieved Data]377 (5/13/2024 9:20:54 PM)	3	98.10	------		36.42	-67.23	32.87	-57.29	-68.84	37.04	96.92
   378 	[Retrieved Data]378 (5/13/2024 9:20:54 PM)	3	28.95	------		80.52	1.33	18.07	-14.75	-0.42	21.84	26.36
   378 	[Retrieved Data]378 (5/13/2024 9:20:54 PM)	3	29.97	------		78.61	1.42	18.37	-15.10	-0.19	22.54	27.13
   379 	[Retrieved Data]379 (5/13/2024 9:20:54 PM)	3	30.92	------		74.99	-0.07	18.40	-20.28	-1.82	22.17	30.10
   379 	[Retrieved Data]379 (5/13/2024 9:20:54 PM)	3	32.23	------		72.83	0.01	18.92	-20.88	-1.60	23.09	31.18
   380 	[Retrieved Data]380 (5/13/2024 9:20:54 PM)	3	32.24	------		77.98	1.91	20.56	-17.29	0.16	24.33	29.85
   380 	[Retrieved Data]380 (5/13/2024 9:20:54 PM)	3	33.51	------		75.95	2.06	21.09	-17.76	0.45	25.26	30.88
   381 	[Retrieved Data]381 (5/13/2024 9:20:54 PM)	3	32.43	------		80.90	3.77	21.32	-14.37	2.02	25.10	28.99
   381 	[Retrieved Data]381 (5/13/2024 9:20:54 PM)	3	33.61	------		79.01	3.98	21.78	-14.70	2.37	25.95	29.92
   382 	[Retrieved Data]382 (5/13/2024 9:20:54 PM)	3	34.39	------		75.58	2.67	22.00	-19.70	0.92	25.77	32.45
   382 	[Retrieved Data]382 (5/13/2024 9:20:54 PM)	3	35.89	------		73.43	2.87	22.72	-20.28	1.26	26.89	33.70
   383 	[Retrieved Data]383 (5/13/2024 9:20:54 PM)	3	35.68	------		78.78	4.50	23.84	-16.50	2.75	27.62	32.29
   383 	[Retrieved Data]383 (5/13/2024 9:20:54 PM)	3	37.06	------		76.80	4.73	24.50	-16.91	3.12	28.68	33.44
   384 	[Retrieved Data]384 (5/13/2024 9:20:54 PM)	3	64.50	------		26.98	19.82	-38.77	-68.29	18.07	-35.00	78.84
   384 	[Retrieved Data]384 (5/13/2024 9:20:54 PM)	3	86.02	------		13.73	34.34	-54.20	-79.98	32.73	-50.02	99.85
   385 	[Retrieved Data]385 (5/13/2024 9:20:54 PM)	3	5.58	------		99.41	-0.11	0.00	4.13	-1.86	3.78	5.90
   385 	[Retrieved Data]385 (5/13/2024 9:20:54 PM)	3	5.80	------		97.33	-0.09	0.12	3.62	-1.70	4.30	5.87
   386 	[Retrieved Data]386 (5/13/2024 9:20:54 PM)	3	5.57	------		99.42	-0.12	-0.01	4.15	-1.87	3.76	5.90
   386 	[Retrieved Data]386 (5/13/2024 9:20:54 PM)	3	5.80	------		97.32	-0.09	0.12	3.61	-1.70	4.30	5.87
   387 	[Retrieved Data]387 (5/13/2024 9:20:54 PM)	3	5.56	------		99.42	-0.12	-0.02	4.15	-1.87	3.75	5.90
   387 	[Retrieved Data]387 (5/13/2024 9:20:54 PM)	3	5.79	------		97.33	-0.09	0.12	3.62	-1.70	4.29	5.86
   388 	[Retrieved Data]388 (5/13/2024 9:20:54 PM)	3	97.80	------		53.61	64.18	48.42	-41.67	62.43	52.20	91.42
   388 	[Retrieved Data]388 (5/13/2024 9:20:54 PM)	3	115.58	------		48.98	70.84	65.73	-44.73	69.23	69.91	108.08
   389 	[Retrieved Data]389 (5/13/2024 9:20:54 PM)	3	22.28	------		89.59	-3.29	12.79	-5.68	-5.04	16.57	18.23
   389 	[Retrieved Data]389 (5/13/2024 9:20:54 PM)	3	22.75	------		88.01	-3.35	12.66	-5.70	-4.96	16.83	18.45
   390 	[Retrieved Data]390 (5/13/2024 9:20:54 PM)	3	24.79	------		85.17	0.95	15.19	-10.10	-0.80	18.96	21.50
   390 	[Retrieved Data]390 (5/13/2024 9:20:54 PM)	3	25.51	------		83.44	1.04	15.22	-10.27	-0.57	19.39	21.95
