	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
    63 	[Retrieved Data]63 (5/13/2024 9:20:54 PM)	3	27.13	------		55.53	-0.53	0.73	-38.32	-1.75	4.40	38.61
    64 	[Retrieved Data]64 (5/13/2024 9:20:54 PM)	3	40.71	------		36.37	0.04	-0.22	-59.01	-1.38	3.12	59.11
    64 	[Retrieved Data]64 (5/13/2024 9:20:54 PM)	3	46.50	------		26.82	0.12	-0.13	-67.03	-1.10	3.53	67.13
    65 	[Retrieved Data]65 (5/13/2024 9:20:54 PM)	3	47.47	------		26.38	-0.24	-1.54	-69.00	-1.66	1.80	69.04
    65 	[Retrieved Data]65 (5/13/2024 9:20:54 PM)	3	59.16	------		8.31	-0.66	-2.40	-85.54	-1.88	1.27	85.57
    66 	[Retrieved Data]66 (5/13/2024 9:20:54 PM)	3	62.02	------		44.69	38.39	18.73	-50.69	36.97	22.07	66.50
    66 	[Retrieved Data]66 (5/13/2024 9:20:54 PM)	3	73.71	------		38.42	45.52	26.23	-55.43	44.30	29.89	76.99
    67 	[Retrieved Data]67 (5/13/2024 9:20:54 PM)	3	50.28	------		55.11	-27.97	14.65	-40.26	-29.39	17.99	53.00
    67 	[Retrieved Data]67 (5/13/2024 9:20:54 PM)	3	56.58	------		50.55	-32.63	17.41	-43.30	-33.85	21.08	58.86
    68 	[Retrieved Data]68 (5/13/2024 9:20:54 PM)	3	50.34	------		29.15	8.86	-20.35	-66.23	7.44	-17.01	68.78
    68 	[Retrieved Data]68 (5/13/2024 9:20:54 PM)	3	67.00	------		14.29	17.98	-32.57	-79.56	16.76	-28.90	86.29
    69 	[Retrieved Data]69 (5/13/2024 9:20:54 PM)	3	43.38	------		56.29	-15.53	-26.69	-39.08	-16.95	-23.34	48.58
    69 	[Retrieved Data]69 (5/13/2024 9:20:54 PM)	3	46.85	------		52.00	-17.77	-29.02	-41.84	-18.99	-25.35	52.48
    70 	[Retrieved Data]70 (5/13/2024 9:20:54 PM)	3	43.29	------		46.63	23.30	3.16	-48.75	21.88	6.50	53.83
    70 	[Retrieved Data]70 (5/13/2024 9:20:54 PM)	3	49.46	------		40.56	27.82	4.24	-53.29	26.60	7.91	60.08
    71 	[Retrieved Data]71 (5/13/2024 9:20:54 PM)	3	96.27	------		83.63	2.62	77.23	-11.75	1.20	80.57	81.43
    71 	[Retrieved Data]71 (5/13/2024 9:20:54 PM)	3	107.77	------		81.46	2.71	87.67	-12.38	1.49	91.33	92.18
    72 	[Retrieved Data]72 (5/13/2024 9:20:54 PM)	3	26.21	------		59.28	-1.70	2.34	-36.10	-3.12	5.68	36.67
    72 	[Retrieved Data]72 (5/13/2024 9:20:54 PM)	3	28.25	------		55.31	-1.93	2.73	-38.53	-3.15	6.40	39.19
    73 	[Retrieved Data]73 (5/13/2024 9:20:54 PM)	3	51.48	------		55.27	-27.63	17.42	-40.11	-29.05	20.77	53.70
