	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
   291 	[Retrieved Data]291 (5/13/2024 9:20:54 PM)	3	42.93	------		43.33	3.76	15.46	-52.05	2.34	18.81	55.39
   291 	[Retrieved Data]291 (5/13/2024 9:20:54 PM)	3	48.22	------		37.69	4.79	19.08	-56.15	3.58	22.75	60.69
   292 	[Retrieved Data]292 (5/13/2024 9:20:54 PM)	3	43.04	------		45.60	5.32	17.28	-49.77	3.90	20.62	54.02
   292 	[Retrieved Data]292 (5/13/2024 9:20:54 PM)	3	48.16	------		40.50	6.51	20.85	-53.34	5.30	24.51	58.94
   293 	[Retrieved Data]293 (5/13/2024 9:20:54 PM)	3	43.33	------		47.71	6.57	18.96	-47.67	5.15	22.30	52.88
   293 	[Retrieved Data]293 (5/13/2024 9:20:54 PM)	3	48.31	------		43.01	7.77	22.48	-50.83	6.55	26.14	57.54
   294 	[Retrieved Data]294 (5/13/2024 9:20:54 PM)	3	41.52	------		43.53	3.90	13.41	-51.84	2.48	16.75	54.54
   294 	[Retrieved Data]294 (5/13/2024 9:20:54 PM)	3	46.26	------		37.82	4.99	16.20	-56.03	3.77	19.87	59.57
   295 	[Retrieved Data]295 (5/13/2024 9:20:54 PM)	3	41.94	------		43.84	4.77	14.25	-51.54	3.35	17.60	54.56
   295 	[Retrieved Data]295 (5/13/2024 9:20:54 PM)	3	46.93	------		38.15	6.01	17.33	-55.70	4.80	21.00	59.72
   296 	[Retrieved Data]296 (5/13/2024 9:20:54 PM)	3	41.99	------		45.99	5.83	15.97	-49.39	4.41	19.32	53.22
   296 	[Retrieved Data]296 (5/13/2024 9:20:54 PM)	3	46.84	------		40.76	7.08	19.08	-53.08	5.87	22.75	58.05
   297 	[Retrieved Data]297 (5/13/2024 9:20:54 PM)	3	42.06	------		47.28	4.68	17.27	-48.10	3.27	20.61	52.43
   297 	[Retrieved Data]297 (5/13/2024 9:20:54 PM)	3	46.72	------		42.33	5.67	20.36	-51.51	4.46	24.02	57.01
   298 	[Retrieved Data]298 (5/13/2024 9:20:54 PM)	3	43.02	------		44.02	5.59	15.91	-51.36	4.17	19.26	55.01
   298 	[Retrieved Data]298 (5/13/2024 9:20:54 PM)	3	48.43	------		38.38	6.96	19.54	-55.46	5.74	23.21	60.39
   299 	[Retrieved Data]299 (5/13/2024 9:20:54 PM)	3	43.03	------		45.27	4.12	17.17	-50.11	2.70	20.51	54.21
   299 	[Retrieved Data]299 (5/13/2024 9:20:54 PM)	3	48.23	------		40.01	5.13	20.82	-53.84	3.91	24.49	59.27
   300 	[Retrieved Data]300 (5/13/2024 9:20:54 PM)	3	43.19	------		47.39	5.57	18.74	-47.98	4.15	22.08	52.99
   300 	[Retrieved Data]300 (5/13/2024 9:20:54 PM)	3	48.23	------		42.55	6.67	22.31	-51.29	5.45	25.97	57.75
   301 	[Retrieved Data]301 (5/13/2024 9:20:54 PM)	3	43.69	------		36.92	2.68	10.06	-58.46	1.26	13.40	59.99
   301 	[Retrieved Data]301 (5/13/2024 9:20:54 PM)	3	49.43	------		29.69	3.92	13.39	-64.16	2.70	17.05	66.44
   302 	[Retrieved Data]302 (5/13/2024 9:20:54 PM)	3	41.20	------		45.43	4.19	14.60	-49.95	2.77	17.95	53.15
   302 	[Retrieved Data]302 (5/13/2024 9:20:54 PM)	3	45.77	------		40.08	5.24	17.37	-53.77	4.03	21.03	57.87
   303 	[Retrieved Data]303 (5/13/2024 9:20:54 PM)	3	41.61	------		45.69	5.07	15.31	-49.69	3.65	18.65	53.20
   303 	[Retrieved Data]303 (5/13/2024 9:20:54 PM)	3	46.37	------		40.36	6.20	18.29	-53.49	4.99	21.96	58.03
   304 	[Retrieved Data]304 (5/13/2024 9:20:54 PM)	3	41.96	------		47.95	6.33	17.33	-47.43	4.91	20.67	51.97
   304 	[Retrieved Data]304 (5/13/2024 9:20:54 PM)	3	46.60	------		43.11	7.55	20.36	-50.74	6.33	24.02	56.49
   305 	[Retrieved Data]305 (5/13/2024 9:20:54 PM)	3	42.52	------		43.73	4.68	15.05	-51.65	3.26	18.40	54.93
   305 	[Retrieved Data]305 (5/13/2024 9:20:54 PM)	3	47.70	------		38.05	5.90	18.42	-55.79	4.68	22.09	60.19
   306 	[Retrieved Data]306 (5/13/2024 9:20:54 PM)	3	42.95	------		45.96	5.96	17.30	-49.42	4.54	20.65	53.75
   306 	[Retrieved Data]306 (5/13/2024 9:20:54 PM)	3	48.13	------		40.75	7.26	20.82	-53.09	6.04	24.49	58.78
   307 	[Retrieved Data]307 (5/13/2024 9:20:54 PM)	3	43.07	------		47.10	4.48	18.53	-48.28	3.06	21.87	53.10
   307 	[Retrieved Data]307 (5/13/2024 9:20:54 PM)	3	48.12	------		42.17	5.46	22.12	-51.68	4.24	25.78	57.91
   308 	[Retrieved Data]308 (5/13/2024 9:20:54 PM)	3	43.52	------		44.00	5.77	16.61	-51.38	4.35	19.95	55.29
   308 	[Retrieved Data]308 (5/13/2024 9:20:54 PM)	3	49.02	------		38.52	7.18	20.42	-55.33	5.97	24.09	60.64
   309 	[Retrieved Data]309 (5/13/2024 9:20:54 PM)	3	49.48	------		23.72	2.39	0.56	-71.65	0.97	3.90	71.77
   309 	[Retrieved Data]309 (5/13/2024 9:20:54 PM)	3	61.61	------		4.68	2.19	-3.84	-89.17	0.97	-0.17	89.17
   310 	[Retrieved Data]310 (5/13/2024 9:20:54 PM)	3	76.46	------		42.93	-46.41	26.24	-52.45	-47.83	29.58	76.91
   310 	[Retrieved Data]310 (5/13/2024 9:20:54 PM)	3	96.28	------		37.17	-61.56	36.60	-56.67	-62.78	40.27	93.67
   311 	[Retrieved Data]311 (5/13/2024 9:20:54 PM)	3	41.23	------		47.63	5.45	16.26	-47.75	4.03	19.61	51.77
   311 	[Retrieved Data]311 (5/13/2024 9:20:54 PM)	3	45.70	------		42.73	6.55	19.08	-51.12	5.34	22.75	56.21
   312 	[Retrieved Data]312 (5/13/2024 9:20:54 PM)	3	42.27	------		43.58	3.93	14.64	-51.80	2.51	17.99	54.89
   312 	[Retrieved Data]312 (5/13/2024 9:20:54 PM)	3	47.35	------		37.89	5.01	17.92	-55.96	3.80	21.59	60.10
   313 	[Retrieved Data]313 (5/13/2024 9:20:54 PM)	3	42.33	------		45.71	5.15	16.37	-49.67	3.74	19.71	53.57
   313 	[Retrieved Data]313 (5/13/2024 9:20:54 PM)	3	47.26	------		40.46	6.33	19.62	-53.38	5.11	23.29	58.46
   314 	[Retrieved Data]314 (5/13/2024 9:20:54 PM)	3	42.69	------		47.83	6.29	18.25	-47.55	4.87	21.60	52.45
   314 	[Retrieved Data]314 (5/13/2024 9:20:54 PM)	3	47.53	------		43.02	7.50	21.54	-50.83	6.28	25.21	57.08
   315 	[Retrieved Data]315 (5/13/2024 9:20:54 PM)	3	43.11	------		43.72	4.69	15.95	-51.66	3.27	19.29	55.24
   315 	[Retrieved Data]315 (5/13/2024 9:20:54 PM)	3	48.46	------		38.11	5.92	19.58	-55.73	4.70	23.25	60.57
   316 	[Retrieved Data]316 (5/13/2024 9:20:54 PM)	3	43.29	------		46.15	6.21	17.86	-49.23	4.79	21.21	53.82
   316 	[Retrieved Data]316 (5/13/2024 9:20:54 PM)	3	48.46	------		41.13	7.48	21.49	-52.72	6.27	25.15	58.75
   317 	[Retrieved Data]317 (5/13/2024 9:20:54 PM)	3	72.33	------		29.99	25.56	-45.66	-65.39	24.14	-42.31	81.54
   317 	[Retrieved Data]317 (5/13/2024 9:20:54 PM)	3	90.73	------		19.56	37.86	-57.64	-74.29	36.64	-53.98	98.87
   318 	[Retrieved Data]318 (5/13/2024 9:20:54 PM)	3	5.11	------		99.42	-0.11	-0.02	4.04	-1.53	3.32	5.45
   318 	[Retrieved Data]318 (5/13/2024 9:20:54 PM)	3	5.30	------		97.34	-0.10	0.13	3.49	-1.32	3.80	5.32
   319 	[Retrieved Data]319 (5/13/2024 9:20:54 PM)	3	5.11	------		99.42	-0.11	-0.03	4.04	-1.53	3.32	5.44
   319 	[Retrieved Data]319 (5/13/2024 9:20:54 PM)	3	5.28	------		97.33	-0.10	0.12	3.49	-1.31	3.78	5.31
   320 	[Retrieved Data]320 (5/13/2024 9:20:54 PM)	3	92.56	------		51.29	57.61	44.66	-44.09	56.19	48.01	86.06
   320 	[Retrieved Data]320 (5/13/2024 9:20:54 PM)	3	110.73	------		46.37	64.46	61.04	-47.48	63.25	64.71	102.18
   321 	[Retrieved Data]321 (5/13/2024 9:20:54 PM)	3	40.73	------		57.27	1.50	21.85	-38.11	0.08	25.19	45.69
   321 	[Retrieved Data]321 (5/13/2024 9:20:54 PM)	3	44.03	------		53.84	1.82	24.13	-40.00	0.60	27.80	48.72
   322 	[Retrieved Data]322 (5/13/2024 9:20:54 PM)	3	42.60	------		54.32	3.20	22.42	-41.05	1.78	25.77	48.50
   322 	[Retrieved Data]322 (5/13/2024 9:20:54 PM)	3	46.66	------		50.57	3.72	25.39	-43.27	2.50	29.06	52.18
   323 	[Retrieved Data]323 (5/13/2024 9:20:54 PM)	3	43.23	------		55.39	1.38	23.70	-39.99	-0.04	27.04	48.28
   323 	[Retrieved Data]323 (5/13/2024 9:20:54 PM)	3	47.17	------		51.79	1.69	26.62	-42.05	0.48	30.29	51.82
   324 	[Retrieved Data]324 (5/13/2024 9:20:54 PM)	3	43.38	------		57.37	3.19	24.73	-38.01	1.77	28.08	47.29
   324 	[Retrieved Data]324 (5/13/2024 9:20:54 PM)	3	47.11	------		54.01	3.65	27.48	-39.84	2.43	31.15	50.63
   325 	[Retrieved Data]325 (5/13/2024 9:20:54 PM)	3	45.15	------		53.48	0.88	24.89	-41.90	-0.54	28.23	50.53
   325 	[Retrieved Data]325 (5/13/2024 9:20:54 PM)	3	49.86	------		49.66	1.17	28.57	-44.18	-0.05	32.24	54.70
   326 	[Retrieved Data]326 (5/13/2024 9:20:54 PM)	3	44.74	------		55.73	3.01	25.47	-39.65	1.59	28.82	49.04
   326 	[Retrieved Data]326 (5/13/2024 9:20:54 PM)	3	48.99	------		52.19	3.49	28.70	-41.66	2.27	32.37	52.80
   327 	[Retrieved Data]327 (5/13/2024 9:20:54 PM)	3	44.94	------		57.77	4.86	26.43	-37.61	3.45	29.77	48.09
   327 	[Retrieved Data]327 (5/13/2024 9:20:54 PM)	3	48.93	------		54.48	5.45	29.43	-39.37	4.23	33.09	51.60
   328 	[Retrieved Data]328 (5/13/2024 9:20:54 PM)	3	42.06	------		54.05	1.91	21.71	-41.33	0.49	25.05	48.33
   328 	[Retrieved Data]328 (5/13/2024 9:20:54 PM)	3	46.02	------		50.26	2.30	24.57	-43.59	1.08	28.24	51.95
   329 	[Retrieved Data]329 (5/13/2024 9:20:54 PM)	3	41.96	------		55.94	3.38	22.52	-39.43	1.96	25.86	47.20
   329 	[Retrieved Data]329 (5/13/2024 9:20:54 PM)	3	45.66	------		52.41	3.87	25.17	-41.44	2.65	28.83	50.55
   330 	[Retrieved Data]330 (5/13/2024 9:20:54 PM)	3	42.62	------		57.06	1.63	23.81	-38.32	0.22	27.16	46.97
   330 	[Retrieved Data]330 (5/13/2024 9:20:54 PM)	3	46.27	------		53.67	1.95	26.50	-40.17	0.74	30.16	50.24
   331 	[Retrieved Data]331 (5/13/2024 9:20:54 PM)	3	44.55	------		54.21	3.13	24.55	-41.17	1.71	27.90	49.76
   331 	[Retrieved Data]331 (5/13/2024 9:20:54 PM)	3	49.00	------		50.46	3.65	27.94	-43.38	2.43	31.61	53.73
   332 	[Retrieved Data]332 (5/13/2024 9:20:54 PM)	3	45.06	------		55.38	1.33	25.68	-40.00	-0.09	29.02	49.42
   332 	[Retrieved Data]332 (5/13/2024 9:20:54 PM)	3	49.43	------		51.82	1.64	29.08	-42.02	0.42	32.74	53.27
   333 	[Retrieved Data]333 (5/13/2024 9:20:54 PM)	3	44.27	------		57.44	3.19	25.71	-37.94	1.77	29.06	47.82
   333 	[Retrieved Data]333 (5/13/2024 9:20:54 PM)	3	48.19	------		54.09	3.64	28.66	-39.75	2.43	32.33	51.30
   334 	[Retrieved Data]334 (5/13/2024 9:20:54 PM)	3	42.66	------		47.06	2.69	18.10	-48.32	1.27	21.45	52.88
   334 	[Retrieved Data]334 (5/13/2024 9:20:54 PM)	3	47.39	------		42.31	3.34	21.50	-51.54	2.12	25.17	57.39
   335 	[Retrieved Data]335 (5/13/2024 9:20:54 PM)	3	40.70	------		55.52	1.26	20.92	-39.86	-0.16	24.27	46.66
   335 	[Retrieved Data]335 (5/13/2024 9:20:54 PM)	3	44.16	------		51.93	1.55	23.33	-41.92	0.33	26.99	49.86
   336 	[Retrieved Data]336 (5/13/2024 9:20:54 PM)	3	41.23	------		55.71	2.37	21.62	-39.67	0.95	24.96	46.88
   336 	[Retrieved Data]336 (5/13/2024 9:20:54 PM)	3	44.79	------		52.13	2.77	24.12	-41.72	1.56	27.79	50.15
   337 	[Retrieved Data]337 (5/13/2024 9:20:54 PM)	3	41.57	------		57.76	4.10	22.90	-37.62	2.68	26.25	45.95
   337 	[Retrieved Data]337 (5/13/2024 9:20:54 PM)	3	45.00	------		54.42	4.60	25.32	-39.42	3.38	28.98	49.05
   338 	[Retrieved Data]338 (5/13/2024 9:20:54 PM)	3	43.61	------		53.86	1.80	23.37	-41.52	0.38	26.72	49.37
   338 	[Retrieved Data]338 (5/13/2024 9:20:54 PM)	3	47.89	------		50.08	2.19	26.60	-43.77	0.97	30.26	53.22
   339 	[Retrieved Data]339 (5/13/2024 9:20:54 PM)	3	43.89	------		55.88	3.50	24.59	-39.50	2.08	27.94	48.42
   339 	[Retrieved Data]339 (5/13/2024 9:20:54 PM)	3	47.98	------		52.37	3.99	27.67	-41.48	2.78	31.33	52.06
   340 	[Retrieved Data]340 (5/13/2024 9:20:54 PM)	3	44.68	------		57.04	1.83	26.00	-38.34	0.41	29.35	48.28
   340 	[Retrieved Data]340 (5/13/2024 9:20:54 PM)	3	48.76	------		53.65	2.17	29.13	-40.19	0.95	32.80	51.88
   341 	[Retrieved Data]341 (5/13/2024 9:20:54 PM)	3	45.24	------		54.13	3.66	25.25	-41.25	2.24	28.59	50.24
   341 	[Retrieved Data]341 (5/13/2024 9:20:54 PM)	3	49.88	------		50.39	4.23	28.82	-43.45	3.02	32.49	54.34
   342 	[Retrieved Data]342 (5/13/2024 9:20:54 PM)	3	49.70	------		23.33	2.25	0.24	-72.05	0.83	3.58	72.14
   342 	[Retrieved Data]342 (5/13/2024 9:20:54 PM)	3	61.60	------		4.69	1.98	-3.85	-89.16	0.77	-0.18	89.16
   343 	[Retrieved Data]343 (5/13/2024 9:20:54 PM)	3	76.57	------		42.91	-46.46	26.35	-52.47	-47.88	29.70	76.99
   343 	[Retrieved Data]343 (5/13/2024 9:20:54 PM)	3	96.30	------		37.20	-61.47	36.79	-56.65	-62.68	40.46	93.68
   344 	[Retrieved Data]344 (5/13/2024 9:20:54 PM)	3	40.63	------		57.56	3.10	21.85	-37.82	1.68	25.19	45.47
   344 	[Retrieved Data]344 (5/13/2024 9:20:54 PM)	3	43.89	------		54.21	3.55	24.09	-39.63	2.33	27.75	48.44
   345 	[Retrieved Data]345 (5/13/2024 9:20:54 PM)	3	43.05	------		53.62	1.01	22.61	-41.76	-0.41	25.95	49.17
   345 	[Retrieved Data]345 (5/13/2024 9:20:54 PM)	3	47.23	------		49.80	1.31	25.73	-44.04	0.09	29.39	52.95
   346 	[Retrieved Data]346 (5/13/2024 9:20:54 PM)	3	43.22	------		55.68	2.50	23.81	-39.70	1.08	27.16	48.11
   346 	[Retrieved Data]346 (5/13/2024 9:20:54 PM)	3	47.22	------		52.10	2.92	26.78	-41.74	1.70	30.45	51.70
   347 	[Retrieved Data]347 (5/13/2024 9:20:54 PM)	3	43.60	------		57.70	4.23	25.05	-37.68	2.81	28.39	47.26
   347 	[Retrieved Data]347 (5/13/2024 9:20:54 PM)	3	47.39	------		54.35	4.77	27.83	-39.49	3.55	31.49	50.64
   348 	[Retrieved Data]348 (5/13/2024 9:20:54 PM)	3	45.18	------		53.79	2.10	25.07	-41.59	0.68	28.42	50.37
   348 	[Retrieved Data]348 (5/13/2024 9:20:54 PM)	3	49.81	------		50.03	2.51	28.68	-43.81	1.29	32.35	54.48
   349 	[Retrieved Data]349 (5/13/2024 9:20:54 PM)	3	44.78	------		56.12	4.10	25.62	-39.26	2.68	28.96	48.86
   349 	[Retrieved Data]349 (5/13/2024 9:20:54 PM)	3	49.00	------		52.62	4.66	28.81	-41.22	3.44	32.48	52.59
   350 	[Retrieved Data]350 (5/13/2024 9:20:54 PM)	3	71.62	------		30.21	25.07	-45.17	-65.17	23.65	-41.82	80.96
   350 	[Retrieved Data]350 (5/13/2024 9:20:54 PM)	3	89.81	------		19.77	37.09	-57.10	-74.07	35.88	-53.43	98.12
   351 	[Retrieved Data]351 (5/13/2024 9:20:54 PM)	3	5.12	------		99.42	-0.11	-0.02	4.04	-1.53	3.33	5.45
   351 	[Retrieved Data]351 (5/13/2024 9:20:54 PM)	3	5.30	------		97.31	-0.10	0.13	3.47	-1.32	3.80	5.31
   352 	[Retrieved Data]352 (5/13/2024 9:20:54 PM)	3	5.13	------		99.43	-0.12	-0.02	4.06	-1.54	3.33	5.47
   352 	[Retrieved Data]352 (5/13/2024 9:20:54 PM)	3	5.29	------		97.31	-0.09	0.13	3.47	-1.31	3.79	5.30
   353 	[Retrieved Data]353 (5/13/2024 9:20:54 PM)	3	92.72	------		51.08	57.88	44.52	-44.30	56.46	47.86	86.26
   353 	[Retrieved Data]353 (5/13/2024 9:20:54 PM)	3	111.03	------		46.22	64.69	61.17	-47.63	63.47	64.84	102.47
   354 	[Retrieved Data]354 (5/13/2024 9:20:54 PM)	3	28.84	------		79.44	-1.41	17.79	-15.94	-2.82	21.13	26.62
   354 	[Retrieved Data]354 (5/13/2024 9:20:54 PM)	3	29.65	------		77.49	-1.37	18.07	-16.36	-2.58	21.73	27.32
   355 	[Retrieved Data]355 (5/13/2024 9:20:54 PM)	3	31.41	------		74.92	1.83	19.21	-20.46	0.41	22.55	30.45
   355 	[Retrieved Data]355 (5/13/2024 9:20:54 PM)	3	32.59	------		72.77	2.00	19.74	-21.07	0.78	23.41	31.50
   356 	[Retrieved Data]356 (5/13/2024 9:20:54 PM)	3	32.13	------		76.51	-1.59	20.09	-18.87	-3.01	23.43	30.24
   356 	[Retrieved Data]356 (5/13/2024 9:20:54 PM)	3	33.23	------		74.44	-1.55	20.63	-19.40	-2.77	24.29	31.21
   357 	[Retrieved Data]357 (5/13/2024 9:20:54 PM)	3	33.75	------		79.66	0.35	22.46	-15.72	-1.07	25.81	30.24
   357 	[Retrieved Data]357 (5/13/2024 9:20:54 PM)	3	34.81	------		77.72	0.44	23.00	-16.13	-0.78	26.66	31.17
   358 	[Retrieved Data]358 (5/13/2024 9:20:54 PM)	3	34.46	------		74.01	-1.22	21.65	-21.37	-2.64	25.00	32.99
   358 	[Retrieved Data]358 (5/13/2024 9:20:54 PM)	3	35.80	------		71.83	-1.16	22.39	-22.02	-2.38	26.06	34.20
   359 	[Retrieved Data]359 (5/13/2024 9:20:54 PM)	3	34.99	------		77.05	0.93	23.06	-18.32	-0.49	26.41	32.14
   359 	[Retrieved Data]359 (5/13/2024 9:20:54 PM)	3	36.24	------		75.02	1.05	23.74	-18.82	-0.16	27.41	33.25
   360 	[Retrieved Data]360 (5/13/2024 9:20:54 PM)	3	35.21	------		80.20	3.54	23.85	-15.18	2.12	27.19	31.22
   360 	[Retrieved Data]360 (5/13/2024 9:20:54 PM)	3	36.27	------		78.31	3.77	24.37	-15.53	2.55	28.03	32.15
   361 	[Retrieved Data]361 (5/13/2024 9:20:54 PM)	3	28.13	------		74.34	-1.84	15.55	-21.04	-3.26	18.90	28.47
   361 	[Retrieved Data]361 (5/13/2024 9:20:54 PM)	3	29.13	------		72.13	-1.82	15.90	-21.71	-3.04	19.57	29.39
   362 	[Retrieved Data]362 (5/13/2024 9:20:54 PM)	3	30.08	------		74.71	-0.62	17.76	-20.67	-2.04	21.10	29.60
   362 	[Retrieved Data]362 (5/13/2024 9:20:54 PM)	3	31.17	------		72.54	-0.55	18.22	-21.30	-1.76	21.88	30.59
   363 	[Retrieved Data]363 (5/13/2024 9:20:54 PM)	3	30.66	------		77.46	1.44	19.19	-17.92	0.02	22.54	28.79
   363 	[Retrieved Data]363 (5/13/2024 9:20:54 PM)	3	31.69	------		75.42	1.59	19.63	-18.43	0.37	23.29	29.70
   364 	[Retrieved Data]364 (5/13/2024 9:20:54 PM)	3	32.71	------		79.37	-1.66	21.28	-16.01	-3.07	24.62	29.53
   364 	[Retrieved Data]364 (5/13/2024 9:20:54 PM)	3	33.70	------		77.39	-1.63	21.76	-16.45	-2.85	25.42	30.42
   365 	[Retrieved Data]365 (5/13/2024 9:20:54 PM)	3	33.42	------		75.04	2.00	21.13	-20.34	0.58	24.47	31.83
   365 	[Retrieved Data]365 (5/13/2024 9:20:54 PM)	3	34.72	------		72.89	2.19	21.80	-20.96	0.97	25.46	32.99
   366 	[Retrieved Data]366 (5/13/2024 9:20:54 PM)	3	35.22	------		76.75	-1.06	23.07	-18.63	-2.48	26.41	32.41
   366 	[Retrieved Data]366 (5/13/2024 9:20:54 PM)	3	36.48	------		74.68	-1.00	23.78	-19.16	-2.22	27.44	33.55
   367 	[Retrieved Data]367 (5/13/2024 9:20:54 PM)	3	35.27	------		79.76	0.86	23.86	-15.62	-0.56	27.21	31.38
   367 	[Retrieved Data]367 (5/13/2024 9:20:54 PM)	3	36.36	------		77.84	0.97	24.44	-16.00	-0.25	28.10	32.34
   368 	[Retrieved Data]368 (5/13/2024 9:20:54 PM)	3	36.13	------		68.48	5.16	21.49	-26.90	3.74	24.83	36.80
   368 	[Retrieved Data]368 (5/13/2024 9:20:54 PM)	3	37.98	------		66.02	5.55	22.54	-27.82	4.33	26.20	38.46
   369 	[Retrieved Data]369 (5/13/2024 9:20:54 PM)	3	27.86	------		76.84	-1.42	16.17	-18.54	-2.84	19.51	27.07
   369 	[Retrieved Data]369 (5/13/2024 9:20:54 PM)	3	28.76	------		74.75	-1.40	16.47	-19.09	-2.61	20.14	27.87
   370 	[Retrieved Data]370 (5/13/2024 9:20:54 PM)	3	29.52	------		77.16	0.04	17.99	-18.22	-1.38	21.34	28.09
   370 	[Retrieved Data]370 (5/13/2024 9:20:54 PM)	3	30.49	------		75.13	0.13	18.38	-18.71	-1.09	22.05	28.94
   371 	[Retrieved Data]371 (5/13/2024 9:20:54 PM)	3	30.88	------		80.22	1.59	20.04	-15.16	0.17	23.38	27.87
   371 	[Retrieved Data]371 (5/13/2024 9:20:54 PM)	3	31.80	------		78.30	1.73	20.41	-15.54	0.51	24.08	28.66
   372 	[Retrieved Data]372 (5/13/2024 9:20:54 PM)	3	32.00	------		74.57	0.10	19.61	-20.81	-1.32	22.95	31.01
   372 	[Retrieved Data]372 (5/13/2024 9:20:54 PM)	3	33.19	------		72.35	0.21	20.16	-21.49	-1.01	23.83	32.10
   373 	[Retrieved Data]373 (5/13/2024 9:20:54 PM)	3	33.44	------		77.71	2.08	21.80	-17.67	0.66	25.15	30.74
   373 	[Retrieved Data]373 (5/13/2024 9:20:54 PM)	3	34.60	------		75.68	2.25	22.38	-18.16	1.03	26.05	31.77
   374 	[Retrieved Data]374 (5/13/2024 9:20:54 PM)	3	35.12	------		79.36	-1.50	23.48	-16.02	-2.91	26.83	31.38
   374 	[Retrieved Data]374 (5/13/2024 9:20:54 PM)	3	36.26	------		77.41	-1.48	24.11	-16.43	-2.70	27.78	32.39
   375 	[Retrieved Data]375 (5/13/2024 9:20:54 PM)	3	35.31	------		75.09	2.55	22.88	-20.29	1.13	26.23	33.18
   375 	[Retrieved Data]375 (5/13/2024 9:20:54 PM)	3	36.69	------		72.96	2.76	23.64	-20.89	1.54	27.31	34.41
   376 	[Retrieved Data]376 (5/13/2024 9:20:54 PM)	3	49.82	------		23.11	2.08	0.04	-72.26	0.67	3.39	72.35
   376 	[Retrieved Data]376 (5/13/2024 9:20:54 PM)	3	61.68	------		4.56	1.95	-3.91	-89.28	0.73	-0.24	89.29
   377 	[Retrieved Data]377 (5/13/2024 9:20:54 PM)	3	75.93	------		42.55	-45.60	26.33	-52.83	-47.02	29.68	76.70
   377 	[Retrieved Data]377 (5/13/2024 9:20:54 PM)	3	95.84	------		36.64	-60.63	36.99	-57.20	-61.84	40.66	93.54
   378 	[Retrieved Data]378 (5/13/2024 9:20:54 PM)	3	29.09	------		79.79	-0.12	18.25	-15.59	-1.54	21.59	26.68
   378 	[Retrieved Data]378 (5/13/2024 9:20:54 PM)	3	29.95	------		77.86	-0.06	18.56	-15.98	-1.27	22.23	27.41
   379 	[Retrieved Data]379 (5/13/2024 9:20:54 PM)	3	31.44	------		74.32	-1.83	18.78	-21.06	-3.25	22.12	30.72
   379 	[Retrieved Data]379 (5/13/2024 9:20:54 PM)	3	32.60	------		72.14	-1.81	19.33	-21.71	-3.03	23.00	31.77
   380 	[Retrieved Data]380 (5/13/2024 9:20:54 PM)	3	32.42	------		77.16	0.24	20.70	-18.22	-1.18	24.04	30.19
   380 	[Retrieved Data]380 (5/13/2024 9:20:54 PM)	3	33.54	------		75.12	0.34	21.24	-18.73	-0.88	24.91	31.18
   381 	[Retrieved Data]381 (5/13/2024 9:20:54 PM)	3	32.28	------		80.00	2.19	21.24	-15.38	0.77	24.59	29.01
   381 	[Retrieved Data]381 (5/13/2024 9:20:54 PM)	3	33.29	------		78.08	2.36	21.70	-15.76	1.14	25.37	29.89
   382 	[Retrieved Data]382 (5/13/2024 9:20:54 PM)	3	34.56	------		74.71	0.79	22.09	-20.67	-0.63	25.43	32.78
   382 	[Retrieved Data]382 (5/13/2024 9:20:54 PM)	3	35.92	------		72.54	0.93	22.83	-21.31	-0.29	26.50	34.00
   383 	[Retrieved Data]383 (5/13/2024 9:20:54 PM)	3	35.46	------		77.77	2.83	23.63	-17.61	1.42	26.98	32.25
   383 	[Retrieved Data]383 (5/13/2024 9:20:54 PM)	3	36.71	------		75.76	3.02	24.30	-18.08	1.81	27.97	33.35
   384 	[Retrieved Data]384 (5/13/2024 9:20:54 PM)	3	64.56	------		28.61	20.01	-37.69	-66.77	18.59	-34.35	77.35
   384 	[Retrieved Data]384 (5/13/2024 9:20:54 PM)	3	83.39	------		16.98	31.87	-50.61	-76.87	30.65	-46.94	95.14
   385 	[Retrieved Data]385 (5/13/2024 9:20:54 PM)	3	5.14	------		99.41	-0.10	0.01	4.03	-1.52	3.35	5.46
   385 	[Retrieved Data]385 (5/13/2024 9:20:54 PM)	3	5.30	------		97.32	-0.10	0.13	3.48	-1.31	3.80	5.31
   386 	[Retrieved Data]386 (5/13/2024 9:20:54 PM)	3	5.14	------		99.43	-0.11	-0.01	4.05	-1.53	3.34	5.47
   386 	[Retrieved Data]386 (5/13/2024 9:20:54 PM)	3	5.30	------		97.32	-0.10	0.13	3.48	-1.32	3.80	5.32
   387 	[Retrieved Data]387 (5/13/2024 9:20:54 PM)	3	5.13	------		99.43	-0.11	-0.01	4.05	-1.53	3.33	5.46
   387 	[Retrieved Data]387 (5/13/2024 9:20:54 PM)	3	5.29	------		97.32	-0.09	0.13	3.48	-1.31	3.79	5.31
   388 	[Retrieved Data]388 (5/13/2024 9:20:54 PM)	3	91.63	------		50.67	57.10	43.75	-44.71	55.68	47.10	85.55
   388 	[Retrieved Data]388 (5/13/2024 9:20:54 PM)	3	110.05	------		45.64	64.13	60.31	-48.21	62.92	63.97	101.86
   389 	[Retrieved Data]389 (5/13/2024 9:20:54 PM)	3	22.54	------		89.11	-3.77	13.33	-6.27	-5.19	16.68	18.56
